iter	Passed	Remaining
413	3256	4610
414	3269	4609
415	3278	4602
416	3287	4595
417	3295	4587
418	3303	4581
419	3312	4574
420	3321	4568
421	3329	4560
422	3338	4554
423	3345	4545
424	3353	4537
425	3361	4529
426	3371	4523
427	3378	4515
428	3386	4507
429	3395	4500
430	3402	4491
431	3408	4481
432	3418	4476
433	3426	4468
434	3433	4460
435	3443	4454
436	3451	4446
437	3462	4443
438	3471	4436
439	3482	4431
440	3489	4422
441	3497	4414
442	3505	4407
443	3512	4398
444	3519	4389
445	3529	4383
446	3536	4375
447	3544	4367
448	3552	4359
449	3560	4351
450	3569	4345
451	3578	4337
452	3585	4329
453	3592	4320
454	3600	4312
455	3609	4305
456	3616	4297
457	3624	4289
458	3632	4280
459	3640	4273
460	3647	4265
461	3654	4255
462	3661	4246
463	3670	4240
464	3679	4232
465	3688	4226
466	3696	4218
467	3703	4209
468	3710	4200
469	3716	4190
470	3723	4181
471	3730	4172
472	3736	4162
473	3743	4153
474	3750	4145
475	3758	4136
476	3764	4127
477	3772	4119
478	3778	4109
479	3785	4100
480	3794	4094
481	3800	4084
482	3809	4077
483	3815	4068
484	3824	4060
485	3831	4052
486	3838	4043
487	3846	4036
488	3854	4027
489	3860	4018
490	3868	4009
491	3875	4001
492	3883	3994
493	3892	3986
494	3900	3978
495	3907	3970
496	3914	3962
497	3922	3954
498	3929	3945
499	3937	3937
500	3944	3928
501	3952	3920
502	3958	3911
503	3965	3902
504	3973	3894
505	3981	3886
506	3988	3878
507	3996	3870
508	4003	3862
509	4011	3854
510	4021	3848
511	4028	3839
512	4036	3831
513	4044	3824
514	4050	3814
515	4057	3806
516	4063	3796
517	4070	3787
518	4077	3779
519	4086	3771
520	4094	3764
521	4102	3757
522	4110	3748
523	4119	3742
524	4128	3735
525	4137	3728
526	4145	3720
527	4154	3714
528	4161	3705
529	4170	3697
530	4176	3688
531	4184	3681
532	4192	3673
533	4200	3666
534	4208	3657
535	4219	3653
536	4232	3648
537	4243	3644
538	4254	3638
539	4269	3636
540	4279	3630
541	4288	3623
542	4303	3621
543	4314	3616
544	4326	3612
545	4335	3605
546	4344	3597
547	4353	3590
548	4366	3586
549	4376	3580
550	4384	3572
551	4399	3570
552	4407	3562
553	4416	3555
554	4426	3549
555	4435	3542
556	4445	3536
557	4455	3529
558	4464	3521
559	4472	3513
560	4480	3506
561	4492	3501
562	4503	3495
563	4517	3492
564	4529	3487
565	4535	3477
566	4544	3470
567	4552	3462
568	4562	3456
569	4569	3447
570	4577	3439
571	4587	3432
572	4597	3426
573	4606	3418
574	4616	3412
575	4637	3414
576	4645	3405
577	4656	3399
578	4664	3391
579	4672	3383
580	4680	3375
581	4691	3369
582	4698	3360
583	4706	3352
584	4715	3344
585	4725	3338
586	4734	3330
587	4741	3322
588	4751	3315
589	4760	3308
590	4768	3300
591	4776	3292
592	4786	3284
593	4793	3276
594	4865	3312
595	4877	3305
596	4900	3308
597	4909	3300
598	4918	3292
599	4926	3284
600	4935	3276
601	4945	3269
602	4957	3263
603	4969	3258
604	4980	3251
605	4993	3246
606	5004	3240
607	5015	3233
608	5028	3228
609	5040	3222
610	5054	3217
611	5064	3211
612	5075	3204
613	5087	3198
614	5096	3190
615	5106	3183
616	5118	3177
617	5130	3171
618	5143	3165
619	5155	3159
620	5167	3154
621	5179	3147
622	5190	3140
623	5200	3133
624	5211	3126
625	5222	3120
626	5231	3112
627	5244	3106
628	5255	3099
629	5264	3091
630	5275	3085
631	5286	3078
632	5297	3071
633	5305	3063
634	5314	3054
635	5322	3046
636	5330	3037
637	5340	3029
638	5348	3021
639	5356	3012
640	5365	3005
641	5377	2998
642	5393	2994
643	5402	2986
644	5414	2979
645	5426	2973
646	5451	2974
647	5461	2966
648	5472	2959
649	5483	2952
650	5491	2944
651	5500	2935
652	5511	2928
653	5521	2921
654	5530	2912
655	5541	2905
656	5552	2898
657	5562	2891
658	5575	2885
659	5586	2877
660	5595	2869
661	5606	2862
662	5617	2855
663	5625	2846
664	5635	2839
665	5646	2831
666	5655	2823
667	5663	2814
668	5671	2806
669	5681	2798
670	5690	2790
671	5699	2781
672	5707	2773
673	5715	2764
674	5722	2755
675	5730	2746
676	5737	2737
677	5747	2729
678	5756	2721
679	5764	2712
680	5771	2703
681	5780	2695
682	5786	2685
683	5794	2676
684	5806	2670
685	5813	2661
686	5820	2652
687	5827	2642
688	5836	2634
689	5843	2625
690	5851	2616
691	5862	2609
692	5872	2601
693	5879	2592
694	5886	2583
695	5894	2574
696	5902	2566
697	5910	2557
698	5918	2548
699	5926	2539
700	5932	2530
701	5940	2521
702	5947	2512
703	5955	2504
704	5966	2496
705	5973	2487
706	5980	2478
707	5993	2471
708	6001	2463
709	6010	2454
710	6018	2446
711	6026	2437
712	6033	2428
713	6041	2419
714	6048	2411
715	6059	2403
716	6066	2394
717	6072	2385
718	6082	2377
719	6093	2369
720	6100	2360
721	6108	2351
722	6118	2344
723	6125	2334
724	6134	2326
725	6143	2318
726	6152	2310
727	6160	2301
728	6167	2292
729	6176	2284
730	6186	2276
731	6195	2268
732	6203	2259
733	6213	2251
734	6224	2244
735	6234	2236
736	6243	2227
737	6255	2220
738	6263	2212
739	6273	2204
740	6284	2196
741	6293	2188
742	6302	2179
743	6311	2171
744	6321	2163
745	6329	2155
746	6337	2146
747	6347	2138
748	6358	2130
749	6365	2121
750	6373	2113
751	6384	2105
752	6393	2097
753	6401	2088
754	6413	2081
755	6421	2072
756	6430	2064
757	6438	2055
758	6451	2048
759	6460	2040
760	6468	2031
761	6480	2024
762	6490	2015
763	6498	2007
764	6506	1998
765	6516	1990
766	6524	1982
767	6533	1973
768	6542	1965
769	6551	1957
770	6560	1948
771	6572	1940
772	6581	1932
773	6589	1924
774	6598	1915
775	6608	1907
776	6619	1899
777	6628	1891
778	6637	1883
779	6650	1875
780	6659	1867
781	6668	1859
782	6679	1851
783	6687	1842
784	6695	1833
785	6703	1825
786	6714	1817
787	6722	1808
788	6730	1799
789	6738	1791
790	6748	1783
791	6756	1774
792	6765	1766
793	6775	1758
794	6783	1749
795	6792	1740
796	6800	1732
797	6808	1723
798	6815	1714
799	6823	1705
800	6832	1697
801	6842	1689
802	6851	1680
803	6859	1672
804	6870	1664
805	6882	1656
806	6890	1647
807	6899	1639
808	6908	1631
809	6915	1622
810	6925	1614
811	6934	1605
812	6942	1596
813	6949	1588
814	6959	1579
815	6968	1571
816	6977	1562
817	6984	1553
818	6994	1545
819	7003	1537
820	7013	1529
821	7021	1520
822	7030	1512
823	7040	1503
824	7048	1495
825	7057	1486
826	7066	1478
827	7081	1471
828	7090	1462
829	7097	1453
830	7105	1445
831	7114	1436
832	7124	1428
833	7137	1420
834	7146	1412
835	7157	1404
836	7173	1396
837	7190	1390
838	7206	1382
839	7219	1375
840	7230	1366
841	7240	1358
842	7251	1350
843	7261	1342
844	7275	1334
845	7284	1326
846	7296	1317
847	7307	1309
848	7330	1303
849	7341	1295
850	7352	1287
851	7361	1278
852	7370	1270
853	7378	1261
854	7387	1252
855	7395	1244
856	7403	1235
857	7412	1226
858	7421	1218
859	7429	1209
860	7437	1200
861	7445	1191
862	7454	1183
863	7461	1174
864	7470	1165
865	7480	1157
866	7488	1148
867	7495	1139
868	7503	1131
869	7511	1122
870	7517	1113
871	7525	1104
872	7533	1095
873	7541	1087
874	7549	1078
875	7556	1069
876	7564	1060
877	7570	1051
878	7578	1043
879	7585	1034
880	7592	1025
881	7601	1016
882	7610	1008
883	7618	999
884	7623	990
885	7630	981
886	7636	972
887	7643	964
888	7650	955
889	7656	946
890	7663	937
891	7670	928
892	7677	919
893	7683	911
894	7690	902
895	7696	893
896	7702	884
897	7708	875
898	7715	866
899	7722	858
900	7730	849
901	7736	840
902	7743	831
903	7751	823
904	7757	814
905	7763	805
906	7769	796
907	7779	788
908	7786	779
909	7795	770
910	7802	762
911	7810	753
912	7818	744
913	7827	736
914	7835	727
915	7844	719
916	7852	710
917	7861	702
918	7869	693
919	7877	684
920	7884	676
921	7891	667
922	7898	658
923	7905	650
924	7912	641
925	7921	633
926	7929	624
927	7937	615
928	7944	607
929	7952	598
930	7959	589
931	7966	581
932	7972	572
933	7980	563
934	7988	555
935	7996	546
936	8004	538
937	8012	529
938	8020	521
939	8026	512
940	8034	503
941	8041	495
942	8048	486
943	8055	477
944	8064	469
945	8071	460
946	8078	452
947	8086	443
948	8092	434
949	8097	426
950	8106	417
951	8112	409
952	8120	400
953	8127	391
954	8137	383
955	8146	374
956	8156	366
957	8165	358
958	8175	349
959	8185	341
960	8193	332
961	8203	324
962	8213	315
963	8223	307
964	8237	298
965	8248	290
966	8257	281
967	8269	273
968	8279	264
969	8288	256
970	8299	247
971	8307	239
972	8317	230
973	8326	222
974	8335	213
975	8345	205
976	8354	196
977	8363	188
978	8372	179
979	8380	171
980	8388	162
981	8399	153
982	8406	145
983	8416	136
984	8423	128
985	8436	119
986	8444	111
987	8454	102
988	8462	94
989	8471	85
990	8481	77
991	8487	68
992	8496	59
993	8504	51
994	8512	42
995	8521	34
996	8529	25
997	8537	17
998	8545	8
999	8553	0
