iter	Logloss
0	0.6624209742
1	0.6276924526
2	0.6016284459
3	0.5722800453
4	0.5478660126
5	0.5233733528
6	0.4969382778
7	0.4759215899
8	0.4480484115
9	0.4287272863
10	0.4087958161
11	0.390613508
12	0.3676575268
13	0.3541134035
14	0.3416838729
15	0.3212310754
16	0.3101965144
17	0.2937569512
18	0.2844486866
19	0.2722105171
20	0.2628138862
21	0.2523557971
22	0.2446131815
23	0.2321897255
24	0.2224396002
25	0.2106478356
26	0.2003073712
27	0.194654489
28	0.1842405117
29	0.1747702279
30	0.1657557114
31	0.1580183677
32	0.154287131
33	0.1485641506
34	0.1440006497
35	0.1403876007
36	0.1367835199
37	0.1330709222
38	0.1287466634
39	0.1231231702
40	0.1195066043
41	0.1153131881
42	0.1112179206
43	0.1079485327
44	0.1038186239
45	0.1009059914
46	0.09728512856
47	0.0933987277
48	0.09165809186
49	0.08876853274
50	0.08533992651
51	0.08256262624
52	0.07950298824
53	0.07674801281
54	0.07470451827
55	0.07257255339
56	0.07012766537
57	0.06889901003
58	0.06775266747
59	0.06696830228
60	0.06548113894
61	0.06424064344
62	0.06276124694
63	0.0619181783
64	0.06091605788
65	0.06014948903
66	0.05934892181
67	0.05821240348
68	0.05692140075
69	0.05575569721
70	0.05423027105
71	0.05337475307
72	0.05268337833
73	0.05204437207
74	0.05124273717
75	0.05052664354
76	0.04999525275
77	0.04935973456
78	0.04886358881
79	0.04814973691
80	0.04751994805
81	0.04687780459
82	0.04596361107
83	0.04551569782
84	0.04513264947
85	0.04456695357
86	0.04421654246
87	0.04374421205
88	0.043477153
89	0.04304056468
90	0.04264989163
91	0.04219396804
92	0.04187738519
93	0.04140297232
94	0.04113957178
95	0.04025548222
96	0.03981459024
97	0.03937300006
98	0.03891319111
99	0.03804700324
100	0.03712033174
101	0.0367619583
102	0.03649922087
103	0.03618117921
104	0.03578047285
105	0.03547259208
106	0.0351885391
107	0.03493814575
108	0.03452961176
109	0.03428833215
110	0.0339994319
111	0.03356690987
112	0.0332125374
113	0.03288404123
114	0.03257937591
115	0.03232517514
116	0.03219406659
117	0.03192459506
118	0.0315816822
119	0.0312312326
120	0.03090487629
121	0.03064785088
122	0.03047986773
123	0.03033228768
124	0.03015280853
125	0.02988082055
126	0.02967441975
127	0.02947715292
128	0.02918981479
129	0.02887774597
130	0.02860519901
131	0.02843598553
132	0.02832728137
133	0.02814274507
134	0.02791077826
135	0.02767957029
136	0.02721115968
137	0.02703159678
138	0.02679110754
139	0.02652119782
140	0.02638897422
141	0.02625311201
142	0.02594817748
143	0.02577538731
144	0.02556839778
145	0.0254112776
146	0.02517903478
147	0.02504499794
148	0.0248888104
149	0.0247900241
150	0.0246233544
151	0.02443166198
152	0.02424901362
153	0.02415652969
154	0.02380690845
155	0.02356280307
156	0.02347439206
157	0.02326733414
158	0.02309782362
159	0.02291408043
160	0.0227555438
161	0.02262010054
162	0.02248844174
163	0.02238625371
164	0.02219155393
165	0.02192049667
166	0.02183558764
167	0.02174130275
168	0.02161190768
169	0.02148264066
170	0.02135548635
171	0.02126147053
172	0.02120769966
173	0.021074638
174	0.02095737907
175	0.02085394082
176	0.02077237417
177	0.02069440038
178	0.02060460365
179	0.02048734278
180	0.02041044103
181	0.02029598669
182	0.02013627987
183	0.01998640942
184	0.0199288224
185	0.01985154778
186	0.01972564029
187	0.01969203031
188	0.01963252737
189	0.01959177032
190	0.01949167349
191	0.01945200691
192	0.01930080636
193	0.01918636641
194	0.01911519333
195	0.0190571513
196	0.01894968524
197	0.0188425956
198	0.01878507164
199	0.01873883024
200	0.01862446467
201	0.01854007355
202	0.01846429153
203	0.01840648088
204	0.01834705928
205	0.01822572225
206	0.01813338902
207	0.01805871428
208	0.01798831297
209	0.01794298385
210	0.01789244606
211	0.01780795986
212	0.01756251356
213	0.01741940678
214	0.01739406909
215	0.0173809534
216	0.01730045976
217	0.01715750385
218	0.01708251834
219	0.01697513248
220	0.01689918084
221	0.01683446083
222	0.01681250902
223	0.01676236609
224	0.01671148406
225	0.01657749411
226	0.01651439266
227	0.01643671913
228	0.01637327716
229	0.0162498664
230	0.0161781704
231	0.01609294768
232	0.01603400372
233	0.01594722873
234	0.015864142
235	0.01574934196
236	0.01570393781
237	0.01560088682
238	0.01551833901
239	0.01549852448
240	0.01545631267
241	0.01535080748
242	0.01534307233
243	0.01532326427
244	0.0152481114
245	0.01520399176
246	0.01513273379
247	0.01506614071
248	0.01497750623
249	0.0149533688
250	0.0148770451
251	0.01483027011
252	0.01478113195
253	0.01474746828
254	0.01469578295
255	0.0146498976
256	0.01463786365
257	0.01458863332
258	0.0145599146
259	0.01452763261
260	0.01441404447
261	0.01437553595
262	0.0143434108
263	0.01432674559
264	0.01429046425
265	0.01424493528
266	0.01413985227
267	0.0140322195
268	0.01396567282
269	0.01390790956
270	0.0138739951
271	0.01385893439
272	0.01384902542
273	0.01380853064
274	0.01378806852
275	0.01371370311
276	0.01367738523
277	0.01357531588
278	0.01357520835
279	0.0134139517
280	0.01332290183
281	0.01328613136
282	0.01321472447
